time, omega x, omega y, omega z, voltage
802472,-942,-463,18815,4814
805416,-582,-311,18816,4780
808272,-582,-311,18816,4801
811128,242,-108,18181,4799
813968,242,-108,18181,4796
816808,1379,528,18427,4796
819676,1379,528,18427,4794
822540,1667,1129,19634,4783
825448,1667,1129,19634,4785
828356,966,1121,20848,4799
831216,966,1121,20848,4801
834072,-34,1073,21662,4784
836908,-34,1073,22686,4799
839744,-639,347,22573,4799
842580,-639,-933,23068,4800
845428,-903,-823,23068,4800
848280,-1159,-700,23446,4825
851168,-1247,-700,23446,4822
854064,-1596,-125,23686,4814
856952,-1596,-125,23686,4780
859852,323,-241,23919,4796
862692,323,-241,23919,4800
865532,914,1121,23496,4819
868392,914,1121,23496,4812
871260,1474,801,23961,4833
874120,1474,801,23961,4833
876988,-562,1109,24860,4830
879864,-562,1109,24860,4823
882736,-721,628,25503,4802
885580,-721,628,25503,4810
888420,1,-786,24992,4813
891180,1,-786,25760,4817
893948,-151,-1597,25609,4833
896840,-151,-1597,25796,4839
899724,-2128,-875,25796,4836
902616,432,342,25165,4812
905440,390,342,25165,4802
908264,1098,1620,24353,4807
911168,1098,1620,24353,4822
914064,1100,826,24909,4838
916924,1100,826,24909,4841
919788,-785,380,25790,4818
922624,-785,380,25790,4806
925460,-906,-602,25356,4823
928316,-906,-602,25356,4813
931172,-251,-1058,25816,4835
934060,-251,-1058,25816,4829
936956,-873,-1083,26145,4814
939852,-873,-1083,26145,4808
942744,354,685,25388,4819
945568,354,685,24620,4819
948388,1413,1745,24663,4835
951288,1413,411,25612,4817
954156,837,411,25612,4813
956980,-710,-811,26546,4811
959836,-710,-811,26546,4823
962692,-838,-647,25764,4803
965548,-838,-647,25764,4822
968396,184,-131,25368,4812
971232,184,-131,25368,4828
974072,-742,121,25901,4822
976912,-742,121,25901,4803
979760,44,1220,25648,4810
982580,44,1220,25648,4814
985408,1081,2433,25030,4802
988304,1081,2433,25030,4818
991200,1192,650,24762,4819
994060,1192,650,24762,4823
996920,68,-1601,25637,4803
999752,68,-1601,25637,4827
1002580,-1612,-2148,25864,4791
1005556,-1612,-868,25281,4797
1008492,509,-775,25281,4805
1011368,317,931,25256,4811
1014232,317,931,25256,4832
1017100,-76,1577,25259,4821
1019980,-76,1577,25259,4789
1022864,349,2295,24781,4788
1025772,349,2295,24781,4813
1028672,1081,1396,23833,4791
1031608,1081,1396,23833,4811
1034552,176,-239,24458,4806
1037432,176,-239,24458,4825
1040312,-343,-1319,24969,4805
1043248,-343,-1319,24201,4794
1046180,-508,-1166,24286,4794
1049112,-508,-212,24105,4801
1051996,-178,-212,24105,4802
1054888,226,490,24182,4811
1057740,226,490,24182,4805
1060604,-826,894,23589,4794
1063488,-826,894,23589,4816
1066360,737,911,24046,4795
1069220,737,911,24046,4789
1072080,817,374,23319,4792
1074940,817,374,23319,4790
1077800,974,692,22580,4792
1080668,974,692,22580,4784
1083532,557,149,22575,4800
1086392,557,149,22575,4797
1089264,-29,-237,22616,4819
1092108,-29,-237,22616,4800
1094960,-670,200,22649,4784
1097836,-670,-312,22700,4803
1100728,127,-274,22700,4817
1103600,-83,-40,22371,4791
1106416,-83,-40,22371,4792
1109236,-714,702,22246,4819
1112116,-714,702,22246,4780
1115000,-713,1067,22195,4774
1117920,-713,1067,22195,4789
1120840,762,437,22371,4784
1123712,762,437,22371,4785
1126580,876,-92,22054,4803
1129424,876,-92,22054,4786
1132264,344,440,21800,4792
1135132,344,440,21800,4778
1137996,225,906,22489,4774
1140856,225,906,22489,4785
1143720,53,633,22786,4795
1146552,53,633,22113,4784
1149384,831,-373,22113,4788
1152264,831,-710,22798,4802
1155136,456,-710,22798,4795
1158012,-1054,-275,23472,4805
1160940,-1054,-275,23472,4772
1163872,-1348,507,23005,4767
1166780,-1348,507,23005,4778
1169696,568,585,22430,4795
1172572,568,585,22430,4806
1175436,-217,120,22363,4825
1178312,-217,120,22363,4803
1181184,-79,520,22435,4799
1184028,-79,520,22435,4780
1186864,915,353,22715,4785
1189724,915,353,22715,4783
1192588,434,-414,22268,4789
1195472,434,-414,22007,4780
1198344,683,-632,22007,4823
1201228,683,-783,21881,4780
1204112,422,-783,21881,4780
1206988,-1248,-175,21546,4794
1209916,-1248,-175,21546,4778
1212844,-412,912,21870,4772
1215728,-412,912,21870,4764
1218620,983,790,21315,4788
1221492,983,790,21315,4786
1224360,279,-716,20490,4786
1227248,279,-716,20490,4774
1230124,-1077,-664,20667,4802
1233052,-1077,-664,20667,4778
1235980,-102,577,21357,4768
1238860,-102,577,20950,4772
1241736,1163,924,20950,4767
1244640,1163,284,20964,4796
1247540,880,284,20964,4778
1250400,156,-198,21477,4808
1253288,156,-198,21477,4791
1256164,-996,-402,21310,4769
1259052,-996,-402,21310,4773
1261944,-619,560,21159,4763
1264824,-619,560,21159,4772
1267704,506,806,21161,4781
1270572,506,806,21161,4799
1273436,323,126,20890,4795
1276296,323,126,20890,4788
1279168,36,-303,20871,4784
1282016,36,-303,20871,4779
1284848,-470,-406,21119,4771
1287740,-470,-406,20435,4774
1290632,-351,-75,20435,4766
1293480,-351,524,20264,4778
1296364,740,524,20264,4774
1299228,1288,318,21026,4764
1302128,1288,318,21026,4768
1305036,-80,154,21101,4797
1307876,-80,154,21101,4779
1310716,-421,762,20592,4761
1313596,-421,762,20592,4769
1316476,181,1372,20657,4781
1319376,181,1372,20657,4769
1322276,-71,861,20824,4783
1325112,-71,861,20824,4772
1327956,371,111,20766,4766
1330820,371,111,20766,4777
1333680,552,-620,20890,4778
1336556,552,-620,20890,4779
1339432,-467,-607,20968,4775
1342316,-467,267,20954,4773
1345192,-621,267,20954,4772
1348072,756,1129,21148,4769
1350976,756,1129,21148,4794
1353872,950,660,21316,4764
1356732,950,660,21316,4780
1359596,100,188,21361,4779
1362460,100,188,21361,4802
1365320,-198,503,21651,4773
1368196,-198,503,21651,4771
1371076,-768,1004,21588,4790
1373992,-768,1004,21588,4786
1376904,221,-76,21314,4781
1379748,221,-76,21314,4805
1382592,487,-427,21482,4790
1385476,487,-427,21994,4794
1388352,272,16,21791,4775
1391180,272,66,21669,4768
1394004,-494,66,21669,4785
1396840,43,413,21507,4813
1399660,43,413,21507,4794
1402488,626,876,21771,4795
1405348,626,876,21771,4803
1408220,148,886,21792,4774
1411084,148,886,21792,4796
1413948,111,1150,21879,4797
1416848,111,1150,21879,4775
1419756,-25,1125,21801,4762
1422632,-25,1125,21801,4772
1425512,-655,366,21176,4767
1428388,-655,366,21176,4788
1431268,856,-251,21336,4780
1434144,856,-251,21336,4802
1437024,-414,-111,21079,4789
1439920,-414,-111,21484,4799
1442816,-1054,-165,21484,4774
1445752,-339,351,22136,4755
1448636,-339,351,22136,4796
1451520,1060,18,21426,4807
1454384,1060,18,21426,4781
1457256,5,-460,21672,4801
1460052,5,-460,21672,4790
1462852,-686,212,22608,4801
1465728,-686,212,22608,4806
1468604,635,972,23132,4775
1471480,635,972,23132,4794
1474340,-222,1420,22214,4790
1477260,-222,1420,22214,4813
1480176,549,813,23010,4802
1483036,549,813,23010,4811
1485900,-82,214,23220,4794
1488736,-82,214,22965,4789
1491576,-761,-91,22965,4781
1494432,-761,-212,23277,4808
1497328,158,-212,23277,4790
1500208,-361,-219,23075,4913
1503108,-361,-219,23075,5002
1506000,184,-141,23005,5022
1508880,184,-141,23005,5026
1511764,-217,229,21631,5021
1514640,-217,229,21631,5033
1517524,-704,463,16978,5044
1520412,-704,463,16978,5038
1523288,505,996,10362,5034
1526148,505,996,10362,5042
1529020,585,1188,2878,5045
1531884,585,1188,2878,5039
1534748,354,329,-1359,5049
1537588,354,329,-722,5051
1540384,184,476,-722,5051
1543184,184,-292,-279,5052
1546000,-23,-274,-279,5061
1548792,-23,-1107,-861,5060
1551628,-224,-1107,-861,5056
1554500,11,-484,-600,5061
1557276,11,-484,-600,5052
1560052,197,261,-179,5052
1562852,197,261,-179,5056
1565652,248,560,-18,5061
1568408,248,560,-18,5050
1571168,374,770,239,5052
1573952,374,770,239,5060
1576736,260,547,255,5063
1579528,260,547,255,5060
1582316,55,-161,16,5063
1585044,55,-161,16,5057
1587768,12,-324,-90,5055
1590508,12,-324,-90,5055
1593248,9,-302,-52,5060
1595956,9,-302,-52,5055
1598664,97,-50,-82,5066
1601368,97,-50,-82,5071
1604064,301,577,82,5062
1606808,301,577,82,5065
1609564,298,627,277,5057
1612348,298,627,277,5068
1615136,181,221,272,5051
1617916,181,221,272,5063
1620700,95,34,184,5063
1623400,95,34,184,5059
1626108,26,-241,165,5061
1628868,26,-241,165,5073
1631628,38,-181,177,5061
1634388,38,-181,177,5067
1637152,145,129,205,5063
1639944,145,129,205,5056
1642724,203,331,237,5061
1645508,203,331,237,5072
1648288,232,423,270,5062
1651076,232,423,270,5071
1653872,191,285,219,5061
1656652,191,285,219,5066
1659432,131,34,198,5065
1662184,131,34,198,5065
1664928,74,-50,177,5070
1667656,74,-50,177,5072
1670368,73,-15,197,5060
1673100,73,-15,197,5067
1675820,166,152,198,5055
1678608,166,152,198,5073
1681388,245,277,183,5072
1684172,245,277,183,5061
1686960,215,291,213,5065
1689740,215,291,180,5067
1692532,172,170,180,5067
1695324,172,-15,183,5072
1698084,142,-15,183,5068
1700840,142,-32,162,5066
1703604,112,-32,162,5073
1706368,112,65,176,5074
1709116,117,65,176,5067
1711864,158,176,198,5066
1714656,158,176,198,5073
1717436,177,237,234,5067
1720220,177,237,234,5070
1723008,174,215,228,5068
1725788,174,215,228,5063
1728576,157,129,192,5071
1731356,157,129,192,5065
1734144,152,33,146,5077
1736892,152,33,146,5071
1739640,147,29,190,5073
1742388,147,29,190,5073
1745132,137,104,175,5068
1747916,137,104,175,5065
1750700,156,156,183,5081
1753484,156,156,183,5061
1756276,155,193,210,5067
1759060,155,193,210,5067
1761844,183,153,165,5070
1764624,183,153,165,5067
1767416,149,114,154,5073
1770204,149,114,154,5072
1772992,139,51,128,5067
1775736,139,51,128,5062
1778496,121,38,165,5068
1781252,121,38,165,5070
1784004,129,87,158,5074
1786752,129,87,158,5068
1789504,160,112,147,5067
1792296,160,112,147,5071
1795076,164,125,226,5067
1797864,164,125,226,5074
1800652,171,114,219,5078
1803432,171,114,219,5070
1806228,157,108,192,5071
1809012,157,108,192,5073
1811800,139,118,220,5072
1814580,139,118,179,5071
1817372,172,130,179,5070
1820160,172,130,194,5077
1822944,169,159,194,5063
1825736,169,164,207,5068
1828516,172,164,207,5073
1831300,172,134,208,5071
1834088,159,134,208,5073
1836868,149,120,159,5073
1839652,149,120,159,5067
1842432,153,78,190,5071
1845184,153,78,190,5074
1847936,150,105,142,5077
1850716,150,105,142,5063
1853496,153,115,117,5081
1856288,153,115,117,5079
1859072,164,152,114,5077
1861856,164,152,114,5067
1864648,167,178,131,5079
1867424,167,178,131,5076
1870204,146,186,158,5068
1872988,146,186,158,5076
1875772,145,141,202,5067
1878560,145,141,202,5071
1881352,166,128,166,5071
1884132,166,128,166,5073
1886916,154,114,176,5072
1889704,154,114,176,5077
1892484,138,123,191,5078
1895272,138,123,191,5073
1898060,135,117,178,5074
